id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos
1,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-01,111,38,28,2,0,0,0,0,0,0,3.84,2.83,26
2,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-01,123,86,15,1,0,0,0,0,0,0,5.24,0.91,14
3,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-01,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
4,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-01,53,22,0,0,0,0,0,0,0,0,4.52,0.00,0
5,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-01,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
6,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-01,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
7,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-02,115,49,31,2,0,4,11,3,0,0,4.96,3.14,29
8,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-02,116,90,21,2,0,-7,4,6,1,0,5.48,1.28,19
9,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-02,6,2,0,0,0,6,2,0,0,0,2.07,0.00,0
10,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-02,56,30,0,0,0,3,8,0,0,0,6.16,0.00,0
11,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-02,6,2,0,0,0,6,2,0,0,0,1.95,0.00,0
12,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-02,7,3,0,0,0,7,3,0,0,0,62.80,0.00,0
13,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-03,124,63,32,2,0,9,14,1,0,0,6.37,3.24,30
14,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-03,132,88,26,2,0,16,-2,5,0,0,5.36,1.58,24
15,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-03,7,1,0,0,0,1,-1,0,0,0,1.03,0.00,0
16,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-03,60,30,0,0,0,4,0,0,0,0,6.16,0.00,0
17,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-03,6,4,0,0,0,0,2,0,0,0,3.91,0.00,0
18,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-03,8,2,0,0,0,1,-1,0,0,0,41.87,0.00,0
19,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-04,134,62,36,2,0,10,-1,4,0,0,6.27,3.64,34
20,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-04,140,103,32,3,0,8,15,6,1,0,6.27,1.95,29
21,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-04,8,0,0,0,0,1,-1,0,0,0,0.00,0.00,0
22,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-04,67,29,1,0,0,7,-1,1,0,0,5.96,0.21,1
23,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-04,6,5,0,0,0,0,1,0,0,0,4.88,0.00,0
24,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-04,8,3,0,0,0,0,1,0,0,0,62.80,0.00,0
25,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-05,136,57,40,3,0,2,-5,4,1,0,5.77,4.05,37
26,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-05,151,88,51,4,0,11,-15,19,1,0,5.36,3.11,47
27,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-05,8,0,0,0,0,0,0,0,0,0,0.00,0.00,0
28,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-05,69,27,2,0,0,2,-2,1,0,0,5.55,0.41,2
29,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-05,6,5,0,0,0,0,0,0,0,0,4.88,0.00,0
30,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-05,10,1,0,0,0,2,-2,0,0,0,20.93,0.00,0
31,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-06,136,53,44,3,0,0,-4,4,0,0,5.36,4.45,41
32,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-06,159,68,63,6,0,8,-20,12,2,0,4.14,3.84,57
33,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-06,8,0,1,0,0,0,0,1,0,0,0.00,1.03,1
34,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-06,69,27,2,0,0,0,0,0,0,0,5.55,0.41,2
35,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-06,6,5,0,0,0,0,0,0,0,0,4.88,0.00,0
36,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-06,10,1,0,0,0,0,0,0,0,0,20.93,0.00,0
37,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-07,138,49,62,4,0,2,-4,18,1,0,4.96,6.27,58
38,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-07,159,68,95,8,0,0,0,32,2,0,4.14,5.79,87
39,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-07,8,0,1,0,0,0,0,0,0,0,0.00,1.03,1
40,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-07,69,27,2,0,0,0,0,0,0,0,5.55,0.41,2
41,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-07,6,5,0,0,0,0,0,0,0,0,4.88,0.00,0
42,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-07,10,1,0,0,0,0,0,0,0,0,20.93,0.00,0
43,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-08,233,82,84,5,0,95,33,22,1,0,8.30,8.50,79
44,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-08,304,122,146,8,0,145,54,51,0,0,7.43,8.89,138
45,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-08,19,10,2,0,0,11,10,1,0,0,10.34,2.07,2
